"text	 ",EMO
"เคยย้อนไปอ่านทวิตของตัวเองแล้วรู้สึกเศร้าไหม เศร้าจนรู้สึกสงสารตัวเอง มึงดราม่าอะไรขนาดนั้น มึงควรต้องพบจิตแพทย์ .	",sad
"เศร้างะ	",sad
"ไม่ชอบมองดูใครเศร้า ไม่ชอบจริงๆ	",sad
"ไม่แน่ใจมันจะเศร้าก็ไม่เศร้า มันหน่วงๆ	",sad
"ก็เสียใจนะที่ไม่ได้อยู่ตรงนั้นกับแกแล้ว แต่ถ้าอยู่คงเสียใจมากกว่านี้	",sad
"ถ้ามึงพร้อมจะเสียกูกูก็พร้อมจะเสียใจ	",sad
"แล้วจะเสียใจที่ทักมา คุณโดนเทแล้วรู้ตัวซะด้วย หึหึ	",sad
"@washimario @PSaechai หยดน้ำกาม บนหยาดน้ำตา.......เศร้าจริงๆโลกใบนี้	",sad
"@garishpraew เศร้างะเกรดดด	",sad
"@aguinne เสียใจด้วยค่าา มีเจ้าของแล้ว https://t.co/7VlHzMqfSH	",sad
"เสียใจนะแบบเสียใจมากเลย	",sad
"แต่ปฏิเสธงี้เพื่อนกูเสียใจนะ คนขอด้วยสัสเก็บเศษหน้าแทบไม่ทัน ._.	",sad
"ขอบ่นหน่อย เสียใจ	",sad
"ต่างคนต่างสนใจแต่เรื่องของตัวเอง ตัดสินใจเอาเอง มันยากตรงไหน ไม่เห็นต้องมาพูดเลยว่าไปสิ ไม่ไปเดะผู้เสียใจ คือเรื่องของใครก็เรื่องของมันไง	",sad
"@rapkooks เจอแบบนี้เสียใจเรยนะ เอาคำว่าคีสถึงคืนมาค่ะ	",sad
"@bampyst พี่ผักเสียใจเรื่องนี้มีเหี้ยหลายตัว55555555555555	",sad
"ชั้ลไม่ต้องการใครอีก ดวงดาวทั้งฟ้าต้องเสียใจและไม่มีสิ่งไหนสวยงามตาอไป๊๊๊ https://t.co/K9ESoM8VTO	",sad
"ไม่ได้เศร้าขนาดนั้นมั้ยอะ -.- ดราม่านิดหน่อย เจอเพลงเศร้าเข้าไปอีก ผมนี่น้ำตาคลอ	",sad
"มันกลายเป็นว่าเราเศร้าเรื่องที่เขาทำให้คุณเศร้า	",sad
"เมื่อความเศร้ามาเยือนอีกครั้ง ยินดีต้อนรับด้วยความเงียบงัน	",sad
"@mew_kamova กูจะหายเศร้าถ้าให้กูยืม2000	",sad
"เสียใจแต่ทำอะไรไม่ได้	",sad
"เจ็บที่ยังรู้สึก เจ็บที่ยังเสียใจ	",sad
"กูจะซึมเศร้าเรื่องคะแนนสักพัก..	",sad
"เศร้า เด็กหญิง 6 ขวบเล่นปืนพ่อ ลั่นถูกพี่สาววัย 7 ขวบดับสลด
https://t.co/tmLkhlBivq	",sad
"@luchalotte เศร้าเหรอเศร้าไรว่ะตั้งใจอ่านสือไปลู่ ????	",sad
"@callxyeonjung เศร้าใจเสียใจน้อยใจ เห้อมมม..	",sad
"อีข้าวนี่จะรีอะไรเศร้าขนาดนี้! กูจะร้องไห้ละเนี่ย	",sad
"@agentppupae คนไม่เสียใจไม่ใช่ไม่เจ็บ อะฮิอะฮิ	",sad
"@got7_market ขอสถานที่ใหญ่กว่านี้ได้มั้ยคะ คราวที่แล้วไปไม่ทันเสียใจ	",sad
"เราแจกแล้วไม่มีใครแจกเราบ้างเหรอ เสียใจ ?? #HolupItsBobbyDay https://t.co/J5ymfA5Mpp	",sad
"อื้งๆ565555555555555555555ใจๆ เสียใจก็เก็บไว้ในใต เวลาพุดก้ต้องดูเพิ่ลด้วยว่าเท่าไรน้อหน้าอย่างมันงี้ดูโง่ๆ	",sad
"@nuttanunya เศร้านะเพื่อนนะ	",sad
"อ๋อยยย ซันวู (กวางซู) ได้เจอพ่อแล้ว แต่เจอตอนตายไปแล้วความจริงเผยแล้ว นางเอกน้องชายกวางซู ฮรือออ จาล้องห้ายยยยยยยยยย #Hwarang เศร้าเกินไปปปป	",sad
"@bbhyx_ ไม่เป็นไรงับ ช่วงนี้ดูพี่เหนือเศร้าๆน้า	",sad
"เออ รงคิดถูกแล้วล่ะที่ออกจากวง ถึงตอนนั้นน้องจะเสียใจมาก ร้องไห้ฟูมฟาย แต่พอตอนนี้ก็เข้าใจละ ดีใจด้วยนะคะ ??	",sad
"@hronkaix  ช้านเสียใจจจจจจ แค่ฉันไม่มีเงินเองง	",sad
"ปากดีไม่มีกูจริงๆแล้วจะเสียใจ	",sad
"กูเสียใจมากอ่ะทำไมว่ะ	",sad
"@Suga_everywhere โอ้ยฮือออ เสียใจแรงงง~ น่าจะเอาไว้แจกลูกค้า 555555	",sad
"@NoharPaiare เลาเสียใจฝุดๆ	",sad
"เเต่บางที ย้อนมองกลับไปเมื่อก่อน ความเสียใจที่มีครั้งนั้น เป็นเหมือนลมที่มันพัดผ่าน ผ่านพ้นไป ก็ลืมไปเอง	",sad
"@tycraftx เป็นผู้รักษาประตูกันไม่ได้นะเนี่ย ไม่รับกันเลย เสียใจแระ	",sad
"จะเลิกเต๊าะแล้วครับไม่อยากให้ใครเสียใจอีก เข็ดแล้ว	",sad
"@CrushTH ??????????
เสียใจด้วยนะคะ แต่ไม่เป็นไรนะคะ ไม่ว่าจะอัพที่ไหนหรือยังไงก็จะตามไปดูให้ถึงที่เลยค่ะ เป็นกำลังใจให้นะคะ ;___;	",sad
"เป็นคนที่เสียใจกับสิ่งที่ไม่ได้ทำ. มากกว่าสิ่งที่ได้ทำจริงๆแหละ เฮ้อ	",sad
"@Jasmilezo แต่ทริปแท๊ปก้อเศร้าในไอจีไง เราก็เลย งง 5555????	",sad
"ถึงเวลาคงเศร้าแบบงงๆ แบบอ่อถึงเวลาแล้วหรอวะ จบแล้วสินะ ไม่เจอกันละนะ งี้หรอวะ	",sad
"ไม่เสียใจ แต่กุเศร้า	",sad
"ฮืออออเสียใจ	",sad
"กูเสียใจ	",sad
"นี่ก็คิดตลอด ถึงจะเจอแต่คนไม่ดีบ้าง เสียใจมาเยอะบ้าง แต่พอมีคนดีดีเพื่อนดีดีอยู่ด้วย มันก็รู้สึกโชคดีมากๆแล้ว	",sad
"เม้นไม่ทัน เผลอกดรีเฟรช เสียใจ 5555	",sad
"ชีวิตกูเศร้า เพราะกระเป๋าไม่มีตังค์	",sad
"เป็นเรื่องน่าเศร้าจริงๆ	",sad
"@py_x97 ไม่ได้ไปกินกับเพื่อนนานมาก เสียใจ
ต้องไปนะก่อนจบ	",sad
"พวกที่กลัวคนเทเยอะ ไปน้อย งานจะล่ม ศลป.จะเสียใจนี่คิดใหม่ได้ค่ะ
ยอดไม่ตามเป้า อล.ยกเลิกแล้วหาพาร์ทเนอร์ใหม่มาจัดใหม่ได้ #หมั่นโถวโถ่วชีวิต	",sad
"@Noey__ntp กูไม่เจอแม่มึง แม่มึงเลยจำกูไม่ได้ เสียใจ	",sad
"ที่ไม่ยอมมีใครสักทีก็เพราะกลัวเสียใจนี่แหละ กลัวมากเกินไป	",sad
"@NoharPaiare เลาไม่เสียใจแล้วก็ได้ เพราะพายอาร์เลยนะเนี้ย	",sad
"ตอนนี้โคตรซึมเศร้า โคตรเหวี่ยง โคตรวีน ฮือ อีฟีนคุด อีเวร	",sad
"จะมีใครเหมือนเรามั้ย ร้องไห้ตั้งแต่ตอนวีกะนาย พอได้ยินเสียงเพลงพระราชนิพนธ์อยู่ๆก็น้ำตาไหล ทั้งที่ฉากไม่ได้เศร้าเลยอะ #พรจากฟ้า	",sad
"นี่ฟังเฉยๆ ยังร้องไห้อ่ามึง เพลงเหี้ย เศร้ามาก	",sad
"ที่สุดของความเสียใจ คือห่วงใยแต่เค้าไม่ตอบกลับ	",sad
"ชีวิตที่ดีไม่มีทางลัด เราต้องก้าวผ่านความผิดหวัง ผ่านความเสียใจ เพื่อวันที่เราจะเข้มแข็งขึ้น และเดินไปจนถึงปลายทางได้	",sad
"เรื่องมันเศร้า ขอเหล้าเข้มๆ	",sad
ทำไมลมหนาว ถึงเศร้าขนาดนี้วะ ??,sad
"@CatsRSoft ซึมเศร้า เวลาอาการมันมาทีมันหนักมากนะ เรารักษาอยู่ กินยาทุกวัน มาเดือนหนึ่งเเล้ว	",sad
"@LEECASX เพลงนี้แบบดีต่อใจมากๆถึงจะเศร้าๆ แต่เพราะมากจริงๆ ฮืออออ	",sad
"มีใครให้เศร้ากว่านี้มั้ย	",sad
"จากนี้จะพยายามไม่ขอและคาดหวังอะไรจากใคร อยากได้อะไรจะทำด้วยตัวเองจะได้ไม่ผิดหวัง ไม่เสียใจ เพราะใครอีก	",sad
"จะต้องเสียใจอีกกี่ครั้งถึงจะพอ	",sad
"ไม่รู้นะ แต่รู้จักคนที่เป็นโรคซึมเศร้านะ เขาก็ไม่เคยมานั่งโพสท์ว่าเป็นอ่ะ แต่เอาเวลาไปรักษาสภาพจิตใจตัวเองจนดีขึ้นๆ	",sad
"ถ้าเปลี่ยนเพลงก็คงไม่เศร้าขนาดนี้.... 555555555555555555 https://t.co/sEdRI1qgDm	",sad
""" ถึงแม้ภายนอกฉันอาจจะยังไหวน่าเศร้าที่ภายในฉันแหลกสลายไปเสียแล้ว """,sad
"เคยยิ้มให้ความคิดถึงไหมมันเศร้านะ แต่ก็ไม่อยากร้องไห้แล้ว .	",sad
"ร้องไห้ได้ แต่ต้องเลิกร้องได้เหมือนกัน 
เสียใจได้ แต่วันนึงมึงต้องดีขึ้น #จำไว้	",sad
"เสียใจที่สุด	",sad
"ไม่ชอบเค้าหรองื้อเสียใจนะอีสัด	",sad
"การแดกจะเยียวยาทุกอย่าง ไม่ว่าเศร้าเสียใจ มึงแดกเข้าไปมึงก็มีความสุข	",sad
"ทนความสัมพันธ์ห่วยๆ ไม่ได้ ทนความเห็นแก่ตัวของอีกคนไม่ไหว ไม่ต้องทำไรมาก แค่เดินออกมา เททุกอย่างทิ้ง เสียใจตอนนี้ดีกว่าเสียใจเรื้อรัง	",sad
"@Faai_Butterfly  เสียใจเท่าไหร่เสียน้ำตาเท่าไหร่ แค่คิดว่าไม่มีใครขอให้บอก	",sad
"บ๊กจูเศร้า อีพี่จุนก็เศร้าตาม #WeightliftingFairyKimBokJoo https://t.co/4zDlOCg3l3	",sad
"อยู่ในโหมดความโสดแล้วฟังเพลงเศร้า55+	",sad
"@_cxaneol เศร้าอะครับ ขอลมหนาวอยู่ด้วยอีกนิดได้ไหม 55555555555555555	",sad
"เป็นตอนที่โครตเศร้าและเศร้าโครตๆ ดูกี่ทีก็เหมือนเดิม TT #HARRYPOTTER https://t.co/iYHmQPE6Lu	",sad
"""ก็เสียใจนะที่ไม่ได้อยู่ด้วยกันแล้วแต่เราทั้งคู่อาจจะเสียใจมากกว่านี้ถ้ายังอยู่ด้วยกัน""	",sad
"กลับมาบ้านทาร์ตหมด คือ...อยากกินไม่ได้กินเลยอ่ะ กลับมาดึกทุกวันพอจะกินก็โดนว่า พอกินช้าก็อด.....เสียใจ....	",sad
"เอาจริงๆคือรอดูลูก แต่ลูกไม่โผล่ในเอ็มวีเลย เศร้า 5555555555555	",sad
"เศร้าเหี้ยไรตอนนี้ เหลือเวลาอยู่ด้วยกันอีกตั้ง 4 วัน ไปเศร้าเอาวันสุดท้ายนู่นค่ะอย่ารีบกร่อย	",sad
"@plbuaem เสียใจด้วยค่ะคุณเสมอที่คุณบอสไม่เล่นทวิต https://t.co/wNQa8hJnG2	",sad
"ยอมรับว่าโง่จริง วอนอย่าด่าเยอะ 
เพราะประกาศเกรดแล้ว แค่รู้เกรดก็เสียใจมากแล้ว ??	",sad
"@aidphanu เศร้าใจทำไมนะ อย่าร้องไห้อีกเลย มะม่วงจิ้มเกลืออร่อยมากนะยูว์ รักมึงอีควาย??	",sad
"@Shawol_Mint โห สงสารเราดิ อยากช่วยเพื่อนแต่ไม่มีประโยชน์มันน่าเศร้าจะตาย เหมือนโดนท่านพี่ด่า you are nothing ข้าโศกายิ่งนัก	",sad
"แวะไปบ้านเจอเรื่องสลด หมาบักดำตายแล้ว — รู้สึกเศร้าใจ	",sad
"แต่เสียใจมากๆเลยนะ
เวลาทะเลาะกันแล้วถูกเรียกว่ามึงอะ	",sad
"ไม่เสียใจ กับการตัดสินใจเมื่อคืน ถึงแม้ว่าผลที่ตามมา มันจะไม่ใช่อย่างที่เราคิด ก็ไม่เป็นไร แต่ตอนนั้นเรามีความสุข ก็พอแล้ว	",sad
"บ้าปะอีเหี้ยคนเสียใจก็ต้องร้องไห้มั้ยอะ จะให้ถางหญ้าแทนร้องไห้หรา	",sad
"บอกเสียใจเพื่ออะไร ในเมื่อเธอก็ทำร้ายหัวใจฉัน	",sad
"กูก็คน กูก็เสียใจเป็นนะ เฮ้ย!	",sad
"เป็นคนขี้น้อยใจนะ คำพูดอะไรเล็กๆน้อยๆถ้าเป็นจากปากคนในครอบครัว เพื่อน หรือแฟน มันก็เสียใจหมดแหละ	",sad
"@SEANXM__ เสียใจครับ มาปลอบหัวใจดวงน้อยๆของพี่เลยนะ	",sad
"อย่าแสดงความเสียใจให้กับคนที่ไม่เห็นค่าเรา #จำไว้	",sad
"บอกว่าไปเเล้ว ต้องการให้มึงบอกว่า อยู่ก่อน ไม่ใช่ ไปโล้ด เเล้วมึงจะไม่เสียใจจริงๆใช่มั้ย	",sad
"จะทำให้เครื่องบินเกิดอุบัติเหตุ !? สาวไทยสุดเศร้า สุนัขแสนรักถูก จนท.เกาหลีใต้ยิงตาย  #คมชัดลึก  ...… https://t.co/MSEHmYIdQb	",sad
"ไม่นานมานี่เพิ่งอ่าน quote อันนึงว่า ""เรื่องน่าเศร้าในโลกของผู้หญิง คือพวกเธอมัวแต่เกลียดกันเอง"" https://t.co/77WWocGJC3	",sad
"@ppc_tangkwa กูทั้งเหงาทั้งเศร้าทั้งบ้าโอ้ยศรีธันยายังไม่รับกูเลย555555	",sad
"วันที่กูเศร้ามีแค่ตัวกูเนอะที่ยุคิดจะหายยยมึงหายไปเลยค่ะเลิกติดตามกูบล๊อคกุไปเลย??กูไม่แคร์วะ https://t.co/I4mFtfdvnQ	",sad
"บ้านบ๊กจูกินข้าวกันอาก็เริ่มคุยสร้างบรรยากาศเพราะพ่อกับบ๊กจูดูเศร้าส้อยเหลื๊อเกิน เละก็เลิกกินข้าวกันไป  #WeightliftingFairyKimBokJoo	",sad
"จะไม่เสียใจเลย ถ้าวันนึงเธอจะปล่อยมือเราไป แล้วไปจับมือกับใครอีกคน
ถ้าคน คนนั้นเขาไม่คิดจะปล่อยมือเธอ	",sad
"เศร้า แบบเดิมๆ ปัญหาที่ไม่อยากบอก ความรู้สึกที่กลัวว่าบอกไปแล้วมันจะพัง	",sad
"นิเธอ ๆ ไหนลองแกล้งโทรหาเราหน่อยสิ เราสงสัยเหลือเกินว่าโดนตัดสัญญาณไปแล้วหรอ ทำไมมันไม่มีคนโทรหาเลย เศร้าจัง !  ????	",sad
อย่าคิดถึงเขาในวันไม่เขาไม่คิดถึงเราแล้ว.,sad
"เลิกเศร้าๆๆ เขามีความสุข แต่เรามาเศร้าอยู่คนเดียว ออกไปทำตัวให้ครื้นเครงกัน ????	",sad
"ตกลงน้องที่ช่วยหมานี่ได้ทุนจริงปะ ถ้าเอาข่าวมั่วๆจากเว็บคลิกเบทไปออกทีวีนี่น่าเศร้านะ 555555	",sad
"ปีนี้ค่อนข้างล้มเหลวกับเรื่องความสัมพันธ์ซึ่งพูดตรงๆ เราค่อนข้างเสียใจที่มันพัง	",sad
"@bbbbb93_ ตอนนี้ยิ่งกว่าาา เค้าปิดไม่ให้ข้ามแล้ว ตรงมุมเกษตร บังคับเดินไปขึ้นสะพานลอยตรงอุโมง เสียใจ	",sad
"เสียใจที่ไม่มีสิทธิ์ยื่นคณะที่อยากเรียน แค่เพราะคณิตไม่ผ่าน จะให้ลุ้นไรวะ	",sad
"ก็เสียใจนะ ที่เดินมาด้วยกัน แต่เหมือนถูกทิ้งไว้กลางทาง แล้วเขาเดินไปหาคนอื่น แต่ก็ทำไรไม่ได้อะ เขาเดินไปแล้ว	",sad
"ไม่บอกหรอกกลัวทายถูกเเล้วมานิโต้เเกเสียใจ55 — 55555555555 ขรรมส์ไม่ไหวล้าวววว อยากให้ถึงวันที่จะให้เร็วๆจังงง อยาก… https://t.co/LTzACifsys	",sad
"เสียใจก้เสียใจนะแต่คนนี้กูจะปล่อยให้ไปไม่ได้แล้ว	",sad
"หนูสมัครรับตรงของมก.ไม่ได้เพราะแกทอิ้งคะแนนไม่ถึง เสียใ… — เอาความเสียใจที่เกิดขึ้นเป็นแรงผลักดันให้เราพยายามต่อไป… https://t.co/BUXdqT6zj8	",sad
"สนุกมั้ยที่มาเล่นกับความรู้สึก #คงตัวคนเดียวสิเรา — รู้สึกเสียใจ	",sad
"อืม เมื่อไหร่กูจะเลิกเสียใจให้มึงสักที	",sad
